acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,id
0.000358,0.372,286387,0.699,2.75e-05,2,0.256,-6.387,1,0.0371,114.93,4,0.273,799KttQyLsJPwoC8NeBlf1
0.194,0.7,200803,0.832,0.0,6,0.108,-4.045,0,0.0539,93.974,4,0.753,5IUnysxxLriboDVSTbPUmG
0.00139,0.336,265387,0.682,0.0,0,0.24,-7.014,1,0.0391,82.848,4,0.353,6hUYUZnpMK04x9wGsu05bE
0.0194,0.865,213394,0.74,0.912,8,0.257,-5.742,0,0.102,126.009,4,0.328,5fPKXismvvQF00Le6PmUYc
0.00868,0.855,404567,0.701,0.00926,9,0.0518,-5.708,0,0.0499,122.511,4,0.812,2UZDxipn040WC3vk0YpRH6
0.499,0.553,218440,0.517,5.98e-06,9,0.15,-8.574,0,0.0242,94.137,4,0.276,0nvwCjTWJ6yb8QvuwUGJ5W
0.159,0.631,218973,0.505,0.0,2,0.137,-8.286,0,0.0438,124.967,4,0.39,6wUB0H48mlCFvk1qQ1YUiv
0.519,0.652,199797,0.506,0.0,2,0.303,-6.087,1,0.0385,160.06,4,0.22,3tvu9ynan6fmt8n40zEmLp
0.172,0.642,217667,0.859,0.0,11,0.4,-7.738,0,0.492,94.449,4,0.678,17wOkiDxrMEZXSSSzTiwRz
0.185,0.929,275204,0.362,1.16e-05,1,0.0947,-5.312,1,0.242,140.037,4,0.0914,7MVEiuVeoSxi4iTjQM699B
0.222,0.815,198293,0.629,3.38e-06,11,0.18,-6.957,0,0.301,100.017,4,0.836,7wtSQNmy2nA2zQkm11BgIu
0.0341,0.529,223400,0.765,0.0,2,0.299,-3.848,1,0.0303,75.001,4,0.466,6AKYboCxbmIbMPRKAoEanW
0.202,0.775,221935,0.669,3.88e-05,8,0.12,-6.64,1,0.267,93.07,4,0.766,1vVFg5EXqwAY225HUfrYn1
0.233,0.635,74387,0.703,0.392,6,0.105,-13.284,1,0.0644,84.16,4,0.549,3JmFOc8E8s62Mt2AWu0Hum
0.000122,0.338,258646,0.882,0.0465,7,0.164,-4.863,1,0.0921,113.337,4,0.324,2C5WKzZ28VrAnMRo7CaTDe
0.22,0.625,248156,0.707,0.0,2,0.213,-4.761,1,0.0337,138.064,4,0.479,7fbVvLIqJrtDamxpivLqGr
0.038,0.721,278419,0.742,0.000153,4,0.177,-3.982,1,0.0504,115.954,4,0.524,2STYBg4kPENuifP45gIgu7
0.0082,0.599,200480,0.836,0.0102,2,0.0356,-3.159,1,0.0659,124.055,4,0.654,0vE3pgN92hneykwy5alzs7
0.166,0.656,191063,0.75,5.31e-06,4,0.133,-6.272,1,0.0371,106.015,4,0.442,2lMauRU6LlOlgRF9ZLPzGP
0.0238,0.78,168133,0.757,0.0,4,0.0756,-5.958,0,0.117,99.966,4,0.644,4VxCouUzEceIDijSl5EL27
0.731,0.688,185273,0.767,0.000307,1,0.16,-7.216,1,0.0288,135.99,4,0.685,20gqsExg8aH2hJVA6Ph6SV
0.206,0.712,226364,0.594,0.0,9,0.0576,-7.703,1,0.208,153.892,4,0.682,3IroRXHTAbldYhhYw1iaMN
0.00567,0.66,186122,0.794,0.348,8,0.073,-5.307,0,0.0392,97.992,4,0.422,6AIl1jXCQw4qMZp2T63Cku
0.141,0.823,231317,0.57,0.000163,4,0.149,-5.391,0,0.0378,109.978,4,0.0429,5dDelaZmrUXWeU8oW7f95F
0.273,0.517,251077,0.545,0.000253,0,0.111,-10.749,0,0.168,130.06,4,0.122,5vCIUcznUzKuN6aZ5pvRYd
0.166,0.723,218054,0.916,0.0,11,0.0618,-2.817,0,0.247,166.003,4,0.959,7KGundjATBg0anM6ptQIna
0.713,0.581,274493,0.263,0.00013,7,0.109,-11.708,1,0.0339,158.137,3,0.102,2HVhc0m0SWbuizPUCaqdPH
0.00248,0.803,311907,0.736,0.0753,11,0.0851,-6.114,0,0.0501,123.979,4,0.458,4J6PpsImPgRg4lMj5wdgYp
0.571,0.482,311677,0.447,0.0,6,0.149,-7.114,0,0.107,119.79,4,0.178,7Irqm1etxQfjqBDooIdQ3U
0.104,0.507,330427,0.803,0.678,1,0.054,-5.176,1,0.0388,120.23,4,0.682,2mwdSJZlzXOJqTQ37rpIbv
0.818,0.629,215259,0.147,0.000279,0,0.0813,-21.065,1,0.14,110.518,3,0.258,1X6HttZpgQH7rsmK0DXYZL
0.577,0.71,265036,0.584,0.00287,8,0.149,-7.64,0,0.0267,113.016,4,0.555,1ZWbfmoCmTmEFf02hCw2tS
0.0599,0.718,219147,0.824,3.02e-05,2,0.114,-6.278,0,0.0431,126.219,4,0.813,5V3F5TDkYT8MsBzVLUAldj
0.741,0.54,196804,0.475,0.0,7,0.299,-8.907,0,0.0302,77.014,4,0.12,5un5AfGIvXKEBwuB3JbHfX
0.0175,0.814,174054,0.599,0.00259,0,0.11,-7.237,0,0.0462,120.014,4,0.607,3b1EjkgORmChXUcVC63x8w
0.517,0.746,255947,0.815,0.0,5,0.741,-5.783,0,0.138,92.022,4,0.81,2dY1Bzp7WozqmXBd7gYgdf
0.363,0.582,162884,0.896,0.0,11,0.0961,-5.235,1,0.337,91.726,4,0.56,6ADw5rZHASx5auubHFyDHM
0.363,0.785,223988,0.539,0.000296,1,0.103,-8.517,0,0.0326,90.127,4,0.494,7goPZ5mufBZqQbWBmgsyEy
0.0627,0.286,325627,0.547,3.16e-06,4,0.112,-7.923,1,0.0318,174.717,3,0.453,0pVL6gE6ebXHExO9IzrJDQ
0.37,0.71,260885,0.557,0.0,8,0.115,-9.758,1,0.101,105.0,4,0.065,5FWF91jFypdEYNZkRW9OnV
0.0273,0.761,216313,0.771,6.56e-05,0,0.0595,-6.888,0,0.0385,125.978,4,0.556,7hmpFkgaEr6FQiZOV8vCt7
0.993,0.645,108011,0.14,0.88,1,0.115,-19.677,1,0.0533,76.201,4,0.347,15anCXEEnV6wyF1CAGnBCt
0.0278,0.348,182080,0.946,0.0,2,0.14,-2.578,1,0.361,179.958,3,0.589,5Kllw7Fco57MHtMEGgRdoc
0.442,0.84,274219,0.412,0.0,5,0.182,-8.695,1,0.237,136.002,4,0.585,0OsXsngTudOOibZmSVRdud
0.49,0.731,233333,0.666,0.0,5,0.135,-6.276,1,0.0345,106.024,4,0.603,3vztKD7g5WW5IpdK2eZv2N
0.567,0.508,535973,0.698,0.94,9,0.109,-6.361,1,0.0321,115.503,1,0.115,0WrX6iujVTlzXs4T0fs8sB
0.508,0.663,211640,0.668,0.0,9,0.135,-4.787,1,0.0278,104.035,4,0.329,2Ijz7U0gQwmXb9YHo8ALTH
0.363,0.474,236757,0.4,0.000737,11,0.141,-9.148,1,0.0358,127.598,4,0.142,0UPd8GlsxRyVF1IOTnMHDC
0.461,0.559,279907,0.408,5.45e-06,9,0.0807,-8.258,1,0.0474,159.948,4,0.431,5zIGVpO1J1n9Hh4jZzxmbN
0.287,0.56,202827,0.787,5.37e-05,9,0.257,-8.962,1,0.0763,173.021,1,0.307,65xlWkPHIkzPyUXejxPKV0
0.206,0.538,257497,0.352,0.0834,5,0.1,-14.413,0,0.0368,128.54,4,0.371,6IcvzAECXa6wgH4XkjdcFN
0.0986,0.55,458788,0.991,0.000792,10,0.223,-4.614,1,0.0564,98.895,4,0.96,5Fi5O8kSHcbwVHrHftt06a
0.0601,0.526,210678,0.938,0.339,9,0.317,-5.711,1,0.0465,80.475,4,0.469,6C951Iq9c9GamAkK9GvSHb
0.873,0.493,141973,0.246,0.00269,4,0.122,-10.48,0,0.0402,135.102,4,0.509,7fxthkp6XGd566qNHntLWZ
0.0157,0.453,236397,0.742,1.11e-05,9,0.123,-4.507,0,0.0525,151.918,4,0.214,2hEvkEYsxmmYYv9a2elAB7
0.816,0.681,201500,0.502,5.9e-06,5,0.127,-10.853,0,0.0473,155.973,4,0.8,43gSHRT3kQ3ZXfNqsdWVtq
0.797,0.565,210000,0.618,0.000913,1,0.825,-8.208,0,0.0345,80.003,4,0.243,5eWng9PCXaJuxBc8oq3bPX
